provider_id,fraud_risk_score,risk_band
0101YC,0.3215288265115203,LOW
0101YS,0.02810409675337295,LOW
0101ZD,0.030364094823192914,LOW
0101ZT,0.011901777009449202,LOW
0113WN,0.12302199096709418,LOW
0113XP,0.018908558861275876,LOW
0113YQ,0.04165761903144278,LOW
0113ZR,0.05250182676912529,LOW
0118MV,0.09050289978743849,LOW
0118WC,0.027353396976298138,LOW
01208T,0.8082093883031292,LOW
0120KV,0.4027731901564473,LOW
0120MA,0.1797970906175441,LOW
0120PC,0.23291199106467234,LOW
0126JN,0.03054088178851682,LOW
0126KG,0.014632216441320173,LOW
0126NJ,0.012088345854325961,LOW
0126WD,0.018716031413384477,LOW
0126XG,0.005655612700703348,LOW
0130PQ,0.2712312576012732,LOW
0130QR,0.2153815590214157,LOW
0130TU,0.13988747907234284,LOW
01386T,0.08731381820881762,LOW
0138DB,0.25345808482711,LOW
0138PN,0.08062014496792402,LOW
0138RQ,0.251669349731149,LOW
0138YR,0.03038620073250006,LOW
0139MK,0.005739835049021618,LOW
01CJUS,0.020349832057236335,LOW
01S0UR,0.2696382107034561,LOW
01S1YV,0.5506511678815015,LOW
01T0KP,0.18878457198130566,LOW
01T1VM,0.21191007241380838,LOW
02008D,0.01444740820678268,LOW
0200DA,0.06550627799087616,LOW
0200HC,0.15793445832678485,LOW
0200JG,0.2733453254382304,LOW
0200KH,0.022144853667184328,LOW
0200MJ,0.21229093575146826,LOW
0200NK,0.057741398234348415,LOW
0200QN,0.09828953733403936,LOW
02138M,0.01378422162189942,LOW
0213BD,0.07611551794623761,LOW
0213CG,0.019950314505250102,LOW
0213HK,0.03114551427644656,LOW
0213JN,0.014927740901750409,LOW
0213KP,0.006354756751816349,LOW
02MHVJ,0.796843805755233,LOW
03006P,0.04310471696549851,LOW
03006V,0.047821376327536774,LOW
03008A,0.15217609942731472,LOW
03008J,0.6200516031656659,LOW
0300AA,0.02568749713363202,LOW
0300AQ,0.14383543550555758,LOW
0300BB,0.08649170023316785,LOW
0300BR,0.11109350717661294,LOW
0300CC,0.637298748889799,LOW
0300DD,0.762648593688075,LOW
0300DT,0.020074196887373295,LOW
0300GG,0.47018985656906837,LOW
0300GU,0.6405986945367068,LOW
0300HH,0.030551246739673178,LOW
0300HV,0.38098643288691497,LOW
0300JB,0.053820949544165456,LOW
0300JK,0.14621664251947336,LOW
0300KM,0.17200768479316073,LOW
0300MD,0.14903717313323483,LOW
0300NP,0.5661920872381867,LOW
0300PH,0.06502194181074213,LOW
0300PQ,0.30806176271654634,LOW
0300QJ,0.7209743337956221,LOW
0300QR,0.5244918185933974,LOW
0300RK,0.5512572347090042,LOW
0300SM,0.25100877290561596,LOW
0300TD,0.2638968156362559,LOW
0300TN,0.6332256031440829,LOW
0300UG,0.27680593854631963,LOW
0300UP,0.08618626285696414,LOW
0300VH,0.23484065582638763,LOW
0300VQ,0.14552314427657145,LOW
0300WJ,0.09157574388180645,LOW
0300XK,0.19442326285562006,LOW
0300YM,0.08469494957056119,LOW
0300YT,0.3697329492019501,LOW
0300ZN,0.12958744620724086,LOW
0300ZU,0.059187712852423184,LOW
03016T,0.05140412328012879,LOW
03018G,0.5241227401487358,LOW
0301AU,0.22000694476515867,LOW
0301BV,0.3848256221136119,LOW
0301CA,0.007297597923218202,LOW
0301GC,0.1478197480118911,LOW
0301HD,0.010098398662567048,LOW
0301JH,0.029222914884050717,LOW
0301KJ,0.2781011807555807,LOW
0301MK,0.0034903061678408336,LOW
0301NM,0.014802921357450297,LOW
0301PD,0.04607938961651834,LOW
0301QG,0.010969242745097769,LOW
0301SJ,0.19128929576467638,LOW
0301TK,0.055222913299545213,LOW
0301UM,0.08885464691484327,LOW
0301VN,0.0085012010630667,LOW
0301WP,0.038370135798883695,LOW
0301XQ,0.015390081594661976,LOW
0301YR,0.08923504028138833,LOW
0301ZS,0.09099199960406003,LOW
03138D,0.5658372206971011,LOW
0313GB,0.01967495357716087,LOW
0313HC,0.034665778833367314,LOW
0313JG,0.014142703082043047,LOW
0313KH,0.00417638554885181,LOW
0313NK,0.026149175023793443,LOW
0313PM,0.028397114967151065,LOW
0313QN,0.015995139132391967,LOW
0313RP,0.5516204705822415,LOW
0313SQ,0.012078398624749307,LOW
0313TR,0.007981010171640808,LOW
0320ZM,0.22219576015755452,LOW
0325AD,0.026532360579972113,LOW
0325BG,0.04078268777634534,LOW
0325BP,0.01455273387870945,LOW
0325BU,0.03553725974388298,LOW
0325BV,0.057094030301824625,LOW
0325DJ,0.004761139342352105,LOW
0325JG,0.03670757550996707,LOW
0325KH,0.010434614524822689,LOW
0325MJ,0.010042681702314118,LOW
0325NC,0.09484205671995533,LOW
0325NS,0.00717358084006841,LOW
0325PD,0.01151704127058465,LOW
0325QG,0.044348168495157575,LOW
0325TK,0.007593499572207119,LOW
0325XH,0.033877400783511445,LOW
0325ZB,0.01694215146003323,LOW
0326BB,0.01240849800733186,LOW
0326CM,0.021688803269722803,LOW
0326DN,0.007388471651052277,LOW
0326ST,0.014476773289797783,LOW
0326UV,0.02701344591681197,LOW
0326WB,0.03573382545486563,LOW
0326YD,0.023326202244099443,LOW
0330BH,0.19912655856334088,LOW
0330CJ,0.3773447330067057,LOW
0330HN,0.14534572932943102,LOW
03S0TP,0.29740460955259307,LOW
03T0CV,0.22086917035231962,LOW
03T0TJ,0.7545092546863927,LOW
03T0VM,0.12909550173548714,LOW
03T0XP,0.39416367470183433,LOW
03T1UA,0.8201805485411474,LOW
04006B,0.07137943906603728,LOW
04006K,0.10260824673881612,LOW
04008M,0.13392429406021733,LOW
04008T,0.022877677897001132,LOW
0400AC,0.8964982204051865,MEDIUM
0400AM,0.14269318936748704,LOW
0400BD,0.019568400775894175,LOW
0400BN,0.046904990640581505,LOW
0400CG,0.03163082401546767,LOW
0400DH,0.3625264561484248,LOW
0400DQ,0.0871420064424494,LOW
0400GJ,0.010174187385530727,LOW
0400GR,0.19294011089433596,LOW
0400HK,0.09673627592515135,LOW
0400HS,0.04898331783779409,LOW
0400JN,0.104708371110472,LOW
0400JU,0.06665434839272721,LOW
0400KP,0.0107364784020541,LOW
0400KV,0.1545162784099821,LOW
0400MA,0.13382756419811348,LOW
0400MQ,0.07775513900450558,LOW
0400NR,0.19182277600943906,LOW
0400PS,0.04846558746309359,LOW
0400QT,0.16677589208559457,LOW
0400RU,0.015557853879232168,LOW
0400TA,0.10978408297759899,LOW
0400TQ,0.14968363809959964,LOW
0400UB,0.10188480046541541,LOW
0400UR,0.07899086876615878,LOW
0400VC,0.14215298324895476,LOW
0400VS,0.09294305151992767,LOW
0400WD,0.09366210613740075,LOW
0400WT,0.06173832774868385,LOW
0400XG,0.5589451703839644,LOW
0400XU,0.12764607924682134,LOW
0400YH,0.004917579411122073,LOW
0400YV,0.0949099294053796,LOW
0400ZA,0.1628129948239101,LOW
0400ZJ,0.01771606795777794,LOW
04018J,0.25415945562645953,LOW
0401BB,0.027282838764086163,LOW
0401GG,0.2949501439424305,LOW
0401HH,0.07765316071308939,LOW
0401JK,0.18513117669400497,LOW
0401KM,0.5652886390113308,LOW
0401MN,0.27630061326795247,LOW
0401PQ,0.2054162546058091,LOW
04136S,0.01610019917560015,LOW
04138T,0.03433751277994987,LOW
0413AM,0.09576966025914414,LOW
0413AT,0.10031669290742984,LOW
0413BN,0.007515795187185371,LOW
0413BU,0.014542173445349827,LOW
0413CP,0.043214056057769734,LOW
0413CV,0.01694215146003323,LOW
0413DA,0.013869236890539855,LOW
0413DQ,0.08779791006016342,LOW
0413GB,0.158797780722836,LOW
0413GR,0.11904599519516934,LOW
0413HC,0.011839468634952846,LOW
0413HS,0.04094993600557453,LOW
0413JU,0.12781454961555885,LOW
0413KV,0.13469724169339803,LOW
0413MA,0.04208462949338998,LOW
0413NB,0.15229038464218475,LOW
0413PC,0.05753788673592614,LOW
0413QD,0.014926567849857042,LOW
0413RG,0.012655345734024373,LOW
0413SH,0.029497482989826025,LOW
0413TJ,0.014405087047384803,LOW
0413UK,0.0037322939982713365,LOW
0413VM,0.04344346590571733,LOW
0413WN,0.04186172768114912,LOW
0413XP,0.0025482121851655684,LOW
0413YQ,0.00959231166898257,LOW
0413ZR,0.022890993280826347,LOW
0420UG,0.1422775358037213,LOW
0420VH,0.2150950053241616,LOW
0420WJ,0.13475656009547293,LOW
0420XK,0.1467883722714619,LOW
04258N,0.01793472086923417,LOW
0425SJ,0.020544559751368045,LOW
0425UC,0.006306242060641533,LOW
0434CV,0.024496415668627067,LOW
0434JG,0.09200796770804272,LOW
0434KH,0.012001966149016078,LOW
0434RP,0.08098446305766595,LOW
0434UK,0.015827884361605028,LOW
0434VM,0.011531433716343523,LOW
0434XP,0.026348437600348676,LOW
0434XV,0.051002489358534416,LOW
0438QB,0.035800945273995334,LOW
0438RC,0.035029287939773335,LOW
04S0HU,0.2667929415028063,LOW
04S0VG,0.16325614531843438,LOW
04T0CS,0.7978542996069323,LOW
04T0WJ,0.22219576015755452,LOW
04T0YM,0.18470784595365877,LOW
04VXKQ,0.11934964387816328,LOW
05006B,0.1559695904164456,LOW
05006K,0.28407229717056603,LOW
05008C,0.19267106418215643,LOW
05008M,0.11172004286481889,LOW
05008T,0.19746423178831074,LOW
0500AC,0.09916454895893813,LOW
0500AM,0.36457509065324684,LOW
0500BD,0.1750334728850428,LOW
0500BN,0.055773336472966,LOW
0500CG,0.04469709019000334,LOW
0500CP,0.4230113141343877,LOW
0500DH,0.8496278430421749,LOW
0500DQ,0.200109100328543,LOW
0500GA,0.05343718731812424,LOW
0500GJ,0.4033470641947152,LOW
0500GR,0.025223128847010008,LOW
0500HB,0.015225495698005038,LOW
0500HK,0.07390006822492065,LOW
0500HS,0.144565695477346,LOW
0500JD,0.23370635194150885,LOW
0500JN,0.18557616482293782,LOW
0500JU,0.2628878592260359,LOW
0500KG,0.08583690806277179,LOW
0500KP,0.04178507987100751,LOW
0500KV,0.1832349836809956,LOW
0500MH,0.01485813197046887,LOW
0500MQ,0.17870341876304005,LOW
0500NJ,0.01240849800733186,LOW
0500NR,0.10554563277716017,LOW
0500PK,0.1684932871524363,LOW
0500PS,0.0457397454326131,LOW
0500QM,0.016477468618804753,LOW
0500QT,0.018358060315653874,LOW
0500RN,0.8333943246797556,LOW
0500RU,0.04127648214787787,LOW
0500SP,0.17740193007223867,LOW
0500SV,0.20238985992914826,LOW
0500TA,0.1316522992609713,LOW
0500TQ,0.0739734062387312,LOW
0500UB,0.04958767821551388,LOW
0500UR,0.04630593710563126,LOW
0500VC,0.12542003101447516,LOW
0500VS,0.609046281466967,LOW
0500WD,0.06273146023791726,LOW
0500WT,0.1221323532366138,LOW
0500XG,0.20574173351719288,LOW
0500XU,0.01266275713685691,LOW
0500YH,0.1613543753178682,LOW
0500YV,0.21854456625352614,LOW
0500ZA,0.02123266778840809,LOW
0500ZJ,0.4389671716466399,LOW
05016C,0.15426600562325257,LOW
05016S,0.2518279478311457,LOW
05018D,0.15936667426201237,LOW
05018N,0.6958816577394279,LOW
0501AD,0.20402046705598792,LOW
0501AT,0.03205104895698732,LOW
0501BG,0.7218959425456996,LOW
0501BU,0.04122204992105625,LOW
0501CH,0.008570978055409708,LOW
0501DA,0.04854722879708483,LOW
0501DJ,0.03942140703838822,LOW
0501GB,0.059614577150034286,LOW
0501GK,0.4499885167579628,LOW
0501HC,0.028669079559411025,LOW
0501HM,0.12718273972558639,LOW
0501JG,0.13849739913254347,LOW
0501JP,0.2400791420746604,LOW
0501KH,0.10962526677543115,LOW
0501KQ,0.06729180976944148,LOW
0501KV,0.1629794280872516,LOW
0501MA,0.8425541185204921,LOW
0501MJ,0.017399739597662982,LOW
0501MR,0.030697281293649785,LOW
0501NB,0.5640720234041368,LOW
0501NK,0.18457503978584922,LOW
0501NS,0.02562768263197915,LOW
0501PC,0.07852505251420863,LOW
0501PM,0.032353385230652135,LOW
0501PT,0.18042408616939698,LOW
0501QD,0.11155066437911194,LOW
0501QN,0.08658146178139711,LOW
0501QU,0.17538113158094293,LOW
0501RG,0.0659704112362375,LOW
0501RP,0.08956514254074792,LOW
0501RV,0.5704145658887279,LOW
0501SA,0.07599300555438891,LOW
0501SQ,0.12062207640876274,LOW
0501TB,0.08547817450922052,LOW
0501TJ,0.23119859161706324,LOW
0501TR,0.0932201586930634,LOW
0501UC,0.08930487611561833,LOW
0501UK,0.013846043796347567,LOW
0501US,0.17252179099391604,LOW
0501VM,0.25151276908911674,LOW
0501VT,0.15321216762914017,LOW
0501WN,0.7826194374001169,LOW
0501WU,0.2851943855338034,LOW
0501XP,0.11042297349251713,LOW
0501XV,0.28627211648894496,LOW
0501YA,0.021891961160912892,LOW
0501YQ,0.07768688753597294,LOW
0501ZB,0.02826749159919376,LOW
0501ZR,0.12612130982741493,LOW
05026A,0.08347398520987155,LOW
05026J,0.22442087272615524,LOW
05028K,0.12960064581400965,LOW
0502AB,0.07709997520456344,LOW
0502AK,0.011996386659027268,LOW
0502BC,0.08689073787125329,LOW
0502BM,0.1954664153936352,LOW
0502CD,0.16691138688816337,LOW
0502CN,0.1902655522756997,LOW
0502DG,0.09085340306509422,LOW
0502DP,0.011618434645087949,LOW
0502GH,0.15569808778134292,LOW
0502HJ,0.06154225923961739,LOW
0502HR,0.02899414846732481,LOW
0502JT,0.19460891383370935,LOW
0502KN,0.6104744859337196,LOW
0502KU,0.1597523336650142,LOW
0502MP,0.05335000915667938,LOW
0502NA,0.9845778753129043,HIGH
0502NQ,0.6116057841626311,LOW
0502PB,0.012192043633384773,LOW
0502PR,0.01759871926871401,LOW
0502QC,0.12124536904900635,LOW
0502QS,0.16297199060372725,LOW
0502RT,0.040063285934801254,LOW
0502SU,0.11566193684996398,LOW
0502TV,0.11427852664171191,LOW
0502UA,0.2339562968633326,LOW
0502UQ,0.035182475583536044,LOW
0502VB,0.0453134344192327,LOW
0502VR,0.6434923052576529,LOW
0502WC,0.007197440908253401,LOW
0502WS,0.10886930525550483,LOW
0502XD,0.244647368479726,LOW
0502XT,0.11095185060601978,LOW
0502YG,0.014209100402705926,LOW
0502YU,0.013901639973464325,LOW
0502ZH,0.024231960898428894,LOW
0502ZV,0.3656239062652136,LOW
05036H,0.7967238365329462,LOW
05036Q,0.034885755794027175,LOW
05038R,0.1521483625443097,LOW
0503AJ,0.1290060225789973,LOW
0503AR,0.10234487438124906,LOW
0503BS,0.18847519426267959,LOW
0503CM,0.1858307512522466,LOW
0503CT,0.023407782729138724,LOW
0503DN,0.36418594431764917,LOW
0503GP,0.013943014924163588,LOW
0503HQ,0.3788030153805023,LOW
0503JK,0.07924953090669863,LOW
0503JS,0.19805704630940724,LOW
0503MN,0.04126833763470052,LOW
0503MU,0.020552065665010437,LOW
0503NV,0.5772028914724651,LOW
0503PA,0.1958710676285581,LOW
0503PQ,0.09467711873301776,LOW
0503QR,0.09021779173406559,LOW
0503RC,0.5415925097286458,LOW
0503RS,0.016784954594360777,LOW
0503SD,0.794661896194674,LOW
0503ST,0.014506095464687976,LOW
0503TG,0.04637639324017767,LOW
0503TU,0.1490017810383936,LOW
0503UH,0.014371144441308851,LOW
0503UV,0.04428843032689785,LOW
0503VA,0.7347300807973435,LOW
0503VJ,0.375846868414178,LOW
0503WB,0.5963924014721564,LOW
0503WK,0.03757208357083259,LOW
0503XC,0.019977294741017195,LOW
0503XM,0.17589450198525802,LOW
0503YD,0.007065603083393635,LOW
0503YN,0.25892854327450154,LOW
0503ZG,0.07924448697953632,LOW
0503ZP,0.05352124886186685,LOW
05046C,0.014195888613239995,LOW
05046M,0.04351679049035251,LOW
05048N,0.04708989196334747,LOW
0504AD,0.11445326211132259,LOW
0504AN,0.021178949813664687,LOW
0504BG,0.3418929865233623,LOW
0504BP,0.48480242583757716,LOW
0504CH,0.12643584855812018,LOW
0504CQ,0.0874076930504499,LOW
0504DR,0.11227965908757044,LOW
0504GK,0.04506469388932327,LOW
0504GS,0.017752633606637962,LOW
0504HM,0.015017319115282294,LOW
0504JP,0.029462029766763254,LOW
0504MR,0.008744703066696216,LOW
0504NS,0.0880882291127166,LOW
0504PT,0.10017925441098557,LOW
0504QU,0.04607938961651834,LOW
0504RV,0.5279241422994847,LOW
0504SA,0.0288431695393564,LOW
0504TB,0.14139007396291334,LOW
0504UC,0.27381459188285867,LOW
0504VD,0.7403276306692216,LOW
0504WG,0.14627981942748805,LOW
0504XH,0.0506532788965555,LOW
0504YJ,0.5758534038065997,LOW
0504ZB,0.12146758705134551,LOW
0504ZK,0.5046576062402691,LOW
05056M,0.21755615854321095,LOW
05058N,0.12260520324658439,LOW
05058U,0.009100874875831357,LOW
0505AN,0.009270970014316753,LOW
0505BP,0.10261777029430921,LOW
0505CH,0.13270556239858472,LOW
0505CQ,0.06931098299831939,LOW
0505DJ,0.17741424159608934,LOW
0505DR,0.1232411093658277,LOW
0505GK,0.15180391064468024,LOW
0505HM,0.011894976439931187,LOW
0505HT,0.11378103380112543,LOW
0505JP,0.011692399551445045,LOW
0505JV,0.10212847419917372,LOW
0505KA,0.046506937217983164,LOW
0505KQ,0.7288918132781478,LOW
0505MB,0.11864710711066906,LOW
0505MR,0.008373102808893312,LOW
0505NC,0.03643952150976272,LOW
0505NS,0.013951416442614096,LOW
0505PD,0.10186632068538223,LOW
0505PT,0.2293747677617489,LOW
0505QG,0.786626969973965,LOW
0505QU,0.14121706918819094,LOW
0505RH,0.021564620468947474,LOW
0505RV,0.012289869992933654,LOW
0505SA,0.02374789977289495,LOW
0505SJ,0.021686580209221366,LOW
0505TB,0.08620035275111444,LOW
0505TK,0.9506911145981984,HIGH
0505UC,0.08522271941063575,LOW
0505VD,0.07135898131262762,LOW
0505WG,0.08114432089916596,LOW
0505XH,0.05438401168714343,LOW
0505YJ,0.8982584619781969,MEDIUM
0505ZK,0.11898119112035781,LOW
05066D,0.03667869088617941,LOW
05068P,0.3401774119472509,LOW
0506AG,0.012242689780653081,LOW
0506AU,0.0478868479699792,LOW
0506BH,0.11936390340816116,LOW
0506BV,0.15239098291333586,LOW
0506CA,0.1479571626775172,LOW
0506CJ,0.015595543150201174,LOW
0506DB,0.16304349599618342,LOW
0506DK,0.03054049745209046,LOW
0506GC,0.4524883073670811,LOW
0506GM,0.3285443817471383,LOW
0506HD,0.04197005874599502,LOW
0506HN,0.1772378094228526,LOW
0506JH,0.22349664868288507,LOW
0506JQ,0.022313223469361702,LOW
0506KJ,0.06960741805334676,LOW
0506KR,0.0815996843129026,LOW
0506MK,0.6215381468809626,LOW
0506NM,0.028876286984399365,LOW
0506PN,0.12045780766463873,LOW
0506QP,0.02346122479569719,LOW
0506RQ,0.1437822626978126,LOW
0506SR,0.12374848920876884,LOW
0506TS,0.5241858576887579,LOW
0506UT,0.10304698903450922,LOW
0506WV,0.12965252886842663,LOW
0506XA,0.01526900665203489,LOW
0506YB,0.09454122570527197,LOW
0506ZC,0.13377384507898957,LOW
05076A,0.1535969444065003,LOW
05076J,0.01324857323905256,LOW
05078B,0.1467748854040369,LOW
05078K,0.11847938827712623,LOW
0507AB,0.6871679810211544,LOW
0507BC,0.01233809900964879,LOW
0507BM,0.02218061890342787,LOW
0507CD,0.12627156073713797,LOW
0507CN,0.18488507053194483,LOW
0507DP,0.10077252274323723,LOW
0507HJ,0.04524896055595336,LOW
0507JC,0.025787291609372813,LOW
0507JM,0.14223262965482178,LOW
0507KD,0.11752859713972509,LOW
0507KN,0.12362007983238571,LOW
0507MG,0.08825422718705465,LOW
0507MP,0.13803701264762788,LOW
0507NQ,0.08438283472862207,LOW
0507PJ,0.048394970650733525,LOW
0507PR,0.37641786772307145,LOW
0507QK,0.1412362887743397,LOW
0507QS,0.009001316909441155,LOW
0507RM,0.05262060594667794,LOW
0507RT,0.10368898336732436,LOW
0507SN,0.14519559287970507,LOW
0507SU,0.09969214626335174,LOW
0507TP,0.30680932014280393,LOW
0507TV,0.09678701288005724,LOW
0507UA,0.1330330865792085,LOW
0507UQ,0.1764200254380623,LOW
0507VB,0.08122477698237142,LOW
0507VR,0.022384580860881707,LOW
0507WC,0.010421295509041953,LOW
0507WS,0.025769647982797003,LOW
0507XD,0.04589507869154332,LOW
0507XT,0.01068164175496654,LOW
0507YG,0.02544360958720143,LOW
0507YU,0.14373570967963567,LOW
0507ZH,0.16056945935728392,LOW
0507ZV,0.02236596501777008,LOW
05106V,0.008885874927111629,LOW
0510GP,0.03824721070896316,LOW
0510MU,0.01876569681943972,LOW
0510WJ,0.05759244773351628,LOW
05116S,0.016443013877555663,LOW
0511BV,0.006329191625972311,LOW
0511HT,0.015749486607433295,LOW
0511NS,0.029617943486670593,LOW
0511QU,0.016061819395964606,LOW
0511YR,0.023427905303682522,LOW
0511ZS,0.10679225562675272,LOW
05136H,0.09557566060179608,LOW
05136V,0.12511715592451228,LOW
05138J,0.009528455495348614,LOW
0513AA,0.008514913133198366,LOW
0513BB,0.013414390833503754,LOW
0513CC,0.012759392993146905,LOW
0513DD,0.01971781942986558,LOW
0513GG,0.1001150320761818,LOW
0513HH,0.5230853866834516,LOW
0513JK,0.039329641298882896,LOW
0513KM,0.018459238767836658,LOW
0513MN,0.09242049730023773,LOW
0513NP,0.012797873797118083,LOW
0513QR,0.010433524588345136,LOW
0513RS,0.14002952872355326,LOW
0513ST,0.2899767598518309,LOW
0513TN,0.06349287642593761,LOW
0513TU,0.0720601944368235,LOW
0513UP,0.04856687121316772,LOW
0513UV,0.006624389752125411,LOW
0513VA,0.005175007788619043,LOW
0513WB,0.04538688176978584,LOW
0513WR,0.05442470662216163,LOW
0513XC,0.018939827590083627,LOW
0513XS,0.028364219160169544,LOW
0513YT,0.03551139092229832,LOW
0513ZU,0.31020645911145983,LOW
05188N,0.04465150936251104,LOW
0518CQ,0.036153043056161197,LOW
0518GS,0.04010537670009551,LOW
0518NK,0.03543296606710714,LOW
0518QN,0.008174878986272588,LOW
0518VN,0.5393171075390966,LOW
0518VT,0.026347196032070332,LOW
0518WU,0.027715753707498132,LOW
0518XQ,0.0046462211995671925,LOW
0518YA,0.17008819880261591,LOW
0518ZB,0.04538394504058865,LOW
0519PM,0.0093485568188486,LOW
0519VD,0.017547864752554862,LOW
05206T,0.031872637595031464,LOW
05208U,0.036330951403966485,LOW
0520AU,0.04906708194083746,LOW
0520HT,0.01931853373747078,LOW
0520JV,0.023882945540747682,LOW
0520KA,0.021586041905099832,LOW
0520NC,0.018066827060081378,LOW
0520PD,0.01522540220700352,LOW
0520QG,0.37160669216625863,LOW
0520SJ,0.1602456299859261,LOW
0520UM,0.023468311506820265,LOW
0520WP,0.005738802268032047,LOW
0520XQ,0.008937069182014062,LOW
0520ZS,0.09854977984404506,LOW
0523HH,0.055804542187723113,LOW
0525AM,0.04197005874599502,LOW
0525CG,0.025020646957304257,LOW
0525DQ,0.020455182460604925,LOW
0525SP,0.024415888086135627,LOW
0525SV,0.03326376623667031,LOW
0525UK,0.045203577191474685,LOW
0525WN,0.011322036935175552,LOW
0525XP,0.013382928590402967,LOW
0525YH,0.015607208384868915,LOW
0525ZJ,0.0068802238397971905,LOW
0526JR,0.05064349305599335,LOW
0526MD,0.03553725974388298,LOW
0526PH,0.01865674138340996,LOW
0526PP,0.06212125673077323,LOW
0526QA,0.03092227539907806,LOW
0526RB,0.0045984759974691276,LOW
0526TD,0.016460854278231785,LOW
0526TT,0.007313567098690277,LOW
0526VH,0.04624118025142392,LOW
0526WA,0.006147126678709822,LOW
0526YC,0.1230143116848016,LOW
0526YM,0.014153957148760514,LOW
0526ZD,0.09733050647746913,LOW
05278N,0.08367072083331405,LOW
0527GK,0.013309407245428527,LOW
0527HC,0.006488970358179697,LOW
0527KV,0.1517855425772771,LOW
0527NR,0.029439419117975537,LOW
0527PC,0.004827055236759238,LOW
0527PS,0.0017909528460662327,LOW
0527UB,0.022652913761054258,LOW
0527UK,0.014366743021453184,LOW
0527XP,0.016978783991328843,LOW
0527ZA,0.044348168495157575,LOW
0528CG,0.03008517050987738,LOW
0528DH,0.048886757514458784,LOW
0528DP,0.016180198298860308,LOW
0528DV,0.00717358084006841,LOW
0528HK,0.02267101359147998,LOW
0528HS,0.008080517360348486,LOW
0528KP,0.018465207145609622,LOW
0528KU,0.01270355975363309,LOW
0528NA,0.005489641293292825,LOW
0528PS,0.022283962145431192,LOW
0528QT,0.01233809900964879,LOW
0528SU,0.023192100162536117,LOW
0528TH,0.022817298169211356,LOW
0528UA,0.07125175959670069,LOW
0528UR,0.010126102299248249,LOW
0528WT,0.03340705004891546,LOW
0528ZJ,0.02701344591681197,LOW
0528ZQ,0.018139573922167036,LOW
0530KM,0.010930286333850266,LOW
